date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-01-01,0.0538110732009045,20.294839477539085,10.919976806640648,9496170.0,288.75740814208984,0.0
2023-01-02,12.547391652958595,20.177575683593773,16.726358032226585,1924448.0,291.60196685791016,0.0
2023-01-03,44.33186621218965,22.272149658203148,18.128442382812523,4837162.0,293.3502960205078,0.0
2023-01-04,0.01045294209234271,18.886102294921898,8.56897888183596,10178258.0,286.8775405883789,0.0
2023-01-05,0.0017106532936850272,11.93482360839846,4.794244384765648,10434356.0,281.51453399658203,0.0
2023-01-06,0.08473694310850988,12.276940917968773,2.2643371582031477,9606808.0,280.42063903808594,0.0
2023-01-07,3.4263888583154767,14.825067138671898,7.500360107421898,1370124.0,284.3127136230469,0.0
2023-01-08,0.47309696674346924,13.38855895996096,7.044732666015648,8212814.0,283.3666458129883,0.0
2023-01-09,0.0013053416410002683,12.348107910156273,0.6144653320312727,9952994.0,279.63128662109375,0.0
2023-01-10,0.0004351138045421976,16.271020507812523,5.245462036132835,10138914.0,283.90824127197266,0.0
2023-01-11,0.13403594493865967,21.193093872070335,12.206719970703148,7186318.0,289.8499069213867,0.0
2023-01-12,7.45178759098053,18.48395690917971,6.93921813964846,4374348.0,285.86158752441406,0.0
2023-01-13,0.02287924286292764,6.834695434570335,1.8130889892578352,6122014.0,277.47389221191406,0.0
2023-01-14,0.0,6.59253845214846,-2.9193328857421648,11070772.0,274.9866027832031,0.0
2023-01-15,0.0013049809126641776,12.833154296875023,-0.030828857421852263,10935148.0,279.55116271972656,0.0
2023-01-16,0.395306054087996,15.820214843750023,8.25568542480471,1254058.0,285.18795013427734,0.0
2023-01-17,2.1938413380553357,19.91523132324221,14.020715332031273,7236642.0,290.1179733276367,0.0
2023-01-18,6.015533208842072,20.12201843261721,12.445336914062523,3576778.0,289.43367767333984,0.0
2023-01-19,10.624256730011439,18.463342285156273,10.050775146484398,11321822.0,287.4070587158203,0.0
2023-01-20,0.001722275101201376,9.30964050292971,2.9558197021484602,11339264.0,279.28273010253906,0.0
2023-01-21,0.0004351138045421976,10.057733154296898,-0.38493957519528976,9042090.0,277.9863967895508,0.0
2023-01-22,4.9646347761154175,9.344216918945335,4.60761413574221,6417468.0,280.12591552734375,0.0
2023-01-23,1.4311045408135215,7.903863525390648,0.44197998046877274,8869604.0,277.3229217529297,0.0
2023-01-24,1.9238024949004284,9.532891845703148,-0.9409240722656023,6316540.0,277.44598388671875,0.0
2023-01-25,14.12777900685569,6.675469970703148,2.3806396484375227,4764452.0,277.6780548095703,0.0
2023-01-26,0.24502407967474937,5.946923828125023,1.2053619384765852,8527396.0,276.7261428833008,0.0
2023-01-27,0.006011128334648674,13.17792663574221,-0.8063415527343523,12173200.0,279.3357925415039,0.0
2023-01-28,0.7007122039226488,10.444619750976585,3.9343658447265852,3499416.0,280.33949279785156,0.0
2023-01-29,13.891686620183918,14.19068298339846,9.002282714843773,2608320.0,284.7464828491211,0.0
2023-01-30,3.5382359691880083,12.190881347656273,1.7292419433593977,2286788.0,280.1100616455078,0.0
2023-01-31,15.71990256729805,1.4237304687500227,-3.3970550537109148,1895996.0,272.16333770751953,0.0
2023-02-01,3.9484768326474295,0.40482482910158524,-3.4245513916015398,5252450.0,271.64013671875,0.0
2023-02-02,6.5367341041451255,2.3574768066406477,-1.8025878906249773,3906678.0,273.4274444580078,0.0
2023-02-03,0.0007748603820800781,3.4164215087890852,-2.4674285888671648,12974000.0,273.62449645996094,0.0
2023-02-04,0.0,8.333703613281273,-3.9697174072265398,9590378.0,275.33199310302734,0.0
2023-02-05,0.001267870288756967,15.359185791015648,2.6798950195312727,12807768.0,282.16954040527344,0.0
2023-02-06,0.0004351138045421976,18.356301879882835,1.7171264648437727,12270520.0,283.1867141723633,0.0
2023-02-07,0.0064641237145224295,19.811929321289085,9.394342041015648,10661604.0,287.75313568115234,0.0
2023-02-08,5.103060603136811,19.406274414062523,10.636315917968773,3018238.0,288.1712951660156,0.0
2023-02-09,15.538096427803794,18.694802856445335,7.927392578125023,13591540.0,286.46109771728516,0.0
2023-02-10,0.0013887881209484476,11.994104003906273,3.7112213134765852,9969118.0,281.0026626586914,0.0
2023-02-11,0.11337354419538315,9.609048461914085,2.6320739746093977,11522072.0,279.2705612182617,0.0
2023-02-12,0.0,12.823892211914085,-0.15404357910153976,14461486.0,279.48492431640625,0.0
2023-02-13,0.0,17.144876098632835,3.8400817871093977,14114068.0,283.6424789428711,0.0
2023-02-14,4.809569985241069,16.861047363281273,7.544763183593773,6648680.0,285.3529052734375,0.0
2023-02-15,3.5348890745012795,22.063592529296898,14.898599243164085,9467472.0,291.63109588623047,0.0
2023-02-16,12.837709821724275,19.226403808593773,12.802423095703148,4189558.0,289.16441345214844,0.0
2023-02-17,0.0756382942199707,11.52759704589846,1.0542541503906477,14741288.0,279.44092559814453,0.0
2023-02-18,0.0021583064722108247,11.118646240234398,-2.2766479492187273,15106416.0,277.5709991455078,0.0
2023-02-19,0.0017306896324953414,16.048318481445335,5.029885864257835,12903138.0,283.68910217285156,0.0
2023-02-20,0.0,21.400613403320335,12.699365234375023,10382530.0,290.19998931884766,0.0
2023-02-21,0.00257942849657411,19.775735473632835,8.984170532226585,10402138.0,287.5299530029297,0.0
2023-02-22,6.186240911404184,23.638955688476585,17.408975219726585,8756228.0,293.67396545410156,0.0
2023-02-23,5.625414848225319,22.265420532226585,18.25623474121096,10908090.0,293.41082763671875,0.0
