id_image,date_image,ndvi_value,evi_value,date_image_dt
20190121T164611_20190121T164609_T15SYV,2019-01-21,0.07358982315113564,2.5849835375587737,2019-01-21
20190126T164549_20190126T164551_T15SYV,2019-01-26,0.26613837347139063,2.770077204533981,2019-01-26
20190225T164249_20190225T164923_T15SYV,2019-02-25,0.3746496837919931,2.8634232488700833,2019-02-25
20190317T164029_20190317T164113_T15SYV,2019-03-17,0.2765043064592641,2.7980940304209274,2019-03-17
20190322T163951_20190322T164744_T15SYV,2019-03-22,0.2610871835577421,2.7847920598499933,2019-03-22
20190327T164109_20190327T164602_T15SYV,2019-03-27,0.2669083035466101,2.8079915659702235,2019-03-27
20190421T163901_20190421T164917_T15SYV,2019-04-21,0.2900027522705177,2.810048365604807,2019-04-21
20190426T163849_20190426T165038_T15SYV,2019-04-26,0.2936737993870339,2.8354872378543767,2019-04-26
20190506T163849_20190506T164355_T15SYV,2019-05-06,0.2594145008337027,2.8183001949870885,2019-05-06
20190516T163849_20190516T164414_T15SYV,2019-05-16,0.16908759040254226,2.7364557053507936,2019-05-16
20190526T163849_20190526T165008_T15SYV,2019-05-26,0.1509592561638099,2.725968179843392,2019-05-26
20190531T163901_20190531T165213_T15SYV,2019-05-31,0.172852202764883,2.7294966382712476,2019-05-31
20190605T163849_20190605T165318_T15SYV,2019-06-05,0.19322353498351896,2.7672638322711354,2019-06-05
20190610T163901_20190610T165257_T15SYV,2019-06-10,0.42818404469867044,2.8225879404468452,2019-06-10
20190620T163901_20190620T164947_T15SYV,2019-06-20,0.3987373026155328,2.8438300506608307,2019-06-20
20190630T163901_20190630T164745_T15SYV,2019-06-30,0.7527941077800862,2.884388971715584,2019-06-30
20190705T163849_20190705T164349_T15SYV,2019-07-05,0.7101786096756196,2.9315819301828903,2019-07-05
20190710T163901_20190710T165255_T15SYV,2019-07-10,0.7688423558072184,2.9402591239078975,2019-07-10
20190720T163901_20190720T164944_T15SYV,2019-07-20,0.8198629645630644,2.9379533357076113,2019-07-20
20190725T163849_20190725T164606_T15SYV,2019-07-25,0.8213871711954396,2.965948405320976,2019-07-25
20190804T163849_20190804T165311_T15SYV,2019-08-04,0.7569626274809121,2.9685105476501454,2019-08-04
20190814T163849_20190814T164716_T15SYV,2019-08-14,0.7468509903151243,2.9290284886374716,2019-08-14
20190819T163901_20190819T165206_T15SYV,2019-08-19,0.6819801672390867,2.900395887998611,2019-08-19
20190829T163901_20190829T164542_T15SYV,2019-08-29,0.6584592544093966,2.911848092223096,2019-08-29
20190903T163839_20190903T164329_T15SYV,2019-09-03,0.602567448278593,2.9064690345643784,2019-09-03
20190908T163901_20190908T165210_T15SYV,2019-09-08,0.5371831472957556,2.8724180085517834,2019-09-08
20190913T163859_20190913T164405_T15SYV,2019-09-13,0.5148906166251845,2.8963555926047984,2019-09-13
20190918T164021_20190918T165045_T15SYV,2019-09-18,0.4771899818870366,2.8706662190830468,2019-09-18
20190928T164041_20190928T164510_T15SYV,2019-09-28,0.3003864677789434,2.784342851748398,2019-09-28
20191003T164129_20191003T165242_T15SYV,2019-10-03,0.3250152125550432,2.840313970268604,2019-10-03
20191008T164201_20191008T164732_T15SYV,2019-10-08,0.3100737950692664,2.808995278504867,2019-10-08
20191013T164239_20191013T164555_T15SYV,2019-10-13,0.2694778730240371,2.801070567651441,2019-10-13
20191018T164311_20191018T164413_T15SYV,2019-10-18,0.25035028562722367,2.7685183265985764,2019-10-18
20191023T164339_20191023T164855_T15SYV,2019-10-23,0.2646284495793814,2.7873914070856407,2019-10-23
20191102T164439_20191102T164519_T15SYV,2019-11-02,0.27483961931497036,2.7329311434647297,2019-11-02
20191112T164529_20191112T164528_T15SYV,2019-11-12,0.2446809128360592,2.8010765469064247,2019-11-12
20200106T164651_20200106T164654_T15SYV,2020-01-06,0.3126351593781638,2.7351879040480536,2020-01-06
20200301T164119_20200301T165022_T15SYV,2020-03-01,0.12065124612633675,2.6300632547641953,2020-03-01
20200306T164141_20200306T164609_T15SYV,2020-03-06,0.3100998319259789,2.8053733379685117,2020-03-06
20200326T163911_20200326T164633_T15SYV,2020-03-26,0.3338414611330526,2.8094667879658792,2020-03-26
20200405T163851_20200405T165117_T15SYV,2020-04-05,0.32708629779808956,2.8193968922615906,2020-04-05
20200410T163839_20200410T164710_T15SYV,2020-04-10,0.3027941310485646,2.855428498555124,2020-04-10
20200415T163901_20200415T164718_T15SYV,2020-04-15,0.31942398549349216,2.8366342498821218,2020-04-15
20200420T163829_20200420T165055_T15SYV,2020-04-20,0.28623772641760004,2.840149782303101,2020-04-20
20200430T163839_20200430T165335_T15SYV,2020-04-30,0.3066626096933022,2.8285395944464193,2020-04-30
20200510T163839_20200510T164708_T15SYV,2020-05-10,0.3002839417174603,2.845172870483856,2020-05-10
20200525T163901_20200525T165159_T15SYV,2020-05-25,0.3563493531981518,2.8289144048553836,2020-05-25
20200530T163839_20200530T165323_T15SYV,2020-05-30,0.39659744689731957,2.8706480108477157,2020-05-30
20200614T163901_20200614T165159_T15SYV,2020-06-14,0.4521660406110682,2.8671113606262417,2020-06-14
20200619T163839_20200619T165248_T15SYV,2020-06-19,0.245725790697581,2.7944702444752325,2020-06-19
20200624T163901_20200624T165224_T15SYV,2020-06-24,0.27277300229275153,2.799951923032529,2020-06-24
20200704T163901_20200704T165223_T15SYV,2020-07-04,0.3815755560579209,2.8508270665151474,2020-07-04
20200709T163839_20200709T164859_T15SYV,2020-07-09,0.38873162196030986,3.046108381015914,2020-07-09
20200714T163901_20200714T164918_T15SYV,2020-07-14,0.224498924472209,2.774838713445326,2020-07-14
20200719T163839_20200719T165022_T15SYV,2020-07-19,0.29931046120913996,2.8584349006849434,2020-07-19
20200724T163901_20200724T165147_T15SYV,2020-07-24,0.3770365896534679,2.8178902778274035,2020-07-24
20200729T163839_20200729T165103_T15SYV,2020-07-29,0.43546961023448155,2.9194079365769263,2020-07-29
20200803T163901_20200803T165003_T15SYV,2020-08-03,0.5355160836543416,2.884877974047867,2020-08-03
20200808T163839_20200808T164130_T15SYV,2020-08-08,0.6201290728595406,2.9021635278769975,2020-08-08
20200813T163901_20200813T165003_T15SYV,2020-08-13,0.7279943938601923,2.9006350840139166,2020-08-13
20200818T163839_20200818T164652_T15SYV,2020-08-18,0.7505397361298761,2.9517714974477327,2020-08-18
20200823T163901_20200823T164839_T15SYV,2020-08-23,0.8033974876315277,2.943492436585539,2020-08-23
20200902T163901_20200902T164510_T15SYV,2020-09-02,0.8113825318872959,2.942505955309279,2020-09-02
20200907T163839_20200907T164430_T15SYV,2020-09-07,0.828247941467208,2.9618325596093276,2020-09-07
20200927T163949_20200927T165131_T15SYV,2020-09-27,0.7067445058833574,2.9343570252000104,2020-09-27
20201002T164131_20201002T165157_T15SYV,2020-10-02,0.6501441655438962,2.893396689017842,2020-10-02
20201007T164109_20201007T164956_T15SYV,2020-10-07,0.48281730213453844,2.8844077157814345,2020-10-07
20201017T164309_20201017T164706_T15SYV,2020-10-17,0.3649645506202981,2.852807404559275,2020-10-17
20201022T164341_20201022T165140_T15SYV,2020-10-22,0.16494893106388822,4.194197108601569,2020-10-22
20201101T164441_20201101T165342_T15SYV,2020-11-01,0.36583194654960033,2.8512568020503224,2020-11-01
20201106T164509_20201106T165305_T15SYV,2020-11-06,0.318281368513993,2.848780535269842,2020-11-06
20201111T164531_20201111T164533_T15SYV,2020-11-11,0.29198645139619467,2.821419629864936,2020-11-11
20201126T164629_20201126T164630_T15SYV,2020-11-26,0.2551337763932341,2.896641300595596,2020-11-26
20201201T164651_20201201T164645_T15SYV,2020-12-01,0.36286167516509155,2.8509937878247187,2020-12-01
20201206T164659_20201206T164657_T15SYV,2020-12-06,0.3025568091865554,2.7850354798298453,2020-12-06
20201221T164711_20201221T164713_T15SYV,2020-12-21,0.4233495552144563,2.837053968634812,2020-12-21
20201226T164709_20201226T164711_T15SYV,2020-12-26,0.4126349678880178,2.833966177274443,2020-12-26
20210105T164659_20210105T164659_T15SYV,2021-01-05,0.2788822746743632,2.7557446484597277,2021-01-05
20210115T164639_20210115T164634_T15SYV,2021-01-15,0.3727360841549253,2.841185986435593,2021-01-15
20210306T164049_20210306T164211_T15SYV,2021-03-06,0.5327742189135961,2.8761605552206957,2021-03-06
20210321T163951_20210321T164459_T15SYV,2021-03-21,0.55924287046888,2.8813902310088233,2021-03-21
