id_image,date_image,ndvi_value,evi_value,date_image_dt
20190106T164659_20190106T164853_T15SYV,2019-01-06,0.24092868324410965,2.8511753743117527,2019-01-06
20190121T164611_20190121T164609_T15SYV,2019-01-21,0.24814511996860997,2.7158368577737484,2019-01-21
20190126T164549_20190126T164551_T15SYV,2019-01-26,0.2771177821366856,2.7759470805599773,2019-01-26
20190317T164029_20190317T164113_T15SYV,2019-03-17,0.2377652051302699,2.798437940406217,2019-03-17
20190317T164029_20190317T165347_T15SYV,2019-03-17,0.242036732807867,2.7884345695905886,2019-03-17
20190322T163951_20190322T164744_T15SYV,2019-03-22,0.21378863228553296,2.771710247335997,2019-03-22
20190327T164109_20190327T164602_T15SYV,2019-03-27,0.2237135070647392,2.7983012489997647,2019-03-27
20190416T163849_20190416T165110_T15SYV,2019-04-16,0.24685875739061386,2.821723900368866,2019-04-16
20190421T163901_20190421T164917_T15SYV,2019-04-21,0.24038780076630537,2.7911002043006845,2019-04-21
20190426T163849_20190426T165038_T15SYV,2019-04-26,0.27503404456094155,2.8259724972515565,2019-04-26
20190506T163849_20190506T164355_T15SYV,2019-05-06,0.2265771202100054,2.812961869091958,2019-05-06
20190516T163849_20190516T164414_T15SYV,2019-05-16,0.21076605965698916,2.7846644677174823,2019-05-16
20190526T163849_20190526T165008_T15SYV,2019-05-26,0.2237119483550316,2.8019228913441347,2019-05-26
20190531T163901_20190531T165213_T15SYV,2019-05-31,0.14560818777382617,2.698957654599977,2019-05-31
20190605T163849_20190605T165318_T15SYV,2019-06-05,0.13252419922640235,2.6744471013535946,2019-06-05
20190610T163901_20190610T165257_T15SYV,2019-06-10,0.15728906197708553,2.701421752411878,2019-06-10
20190620T163901_20190620T164947_T15SYV,2019-06-20,0.12194033885038487,2.7251522343404804,2019-06-20
20190625T163849_20190625T164413_T15SYV,2019-06-25,0.16113446465259634,2.7477365082688885,2019-06-25
20190630T163901_20190630T164745_T15SYV,2019-06-30,0.17750960186212325,2.7144930376449783,2019-06-30
20190705T163849_20190705T164349_T15SYV,2019-07-05,0.2171237591163051,2.7938175984961484,2019-07-05
20190710T163901_20190710T165255_T15SYV,2019-07-10,0.2631888272891469,2.829704763516869,2019-07-10
20190720T163901_20190720T164944_T15SYV,2019-07-20,0.5549991336590421,2.887632485003939,2019-07-20
20190725T163849_20190725T164606_T15SYV,2019-07-25,0.7107515043925715,2.938892497445307,2019-07-25
20190804T163849_20190804T165311_T15SYV,2019-08-04,0.7837746770954075,2.9986445779778657,2019-08-04
20190814T163849_20190814T164716_T15SYV,2019-08-14,0.8968037156668507,3.038909141362923,2019-08-14
20190819T163901_20190819T165206_T15SYV,2019-08-19,0.8813714392326476,3.0283089983262235,2019-08-19
20190829T163901_20190829T164542_T15SYV,2019-08-29,0.9148660190133165,3.061281829402082,2019-08-29
