id_image,date_image,ndvi_value,evi_value,date_image_dt,savitzky_golay,timestamps
20230105T164659_20230105T164700_T15SYV,2023-01-05,0.17731425076894217,2.6929985075578107,2023-01-05,0.17109167074204107,2023-01-05
,,0.18054796884830202,2.7066838955299475,2023-01-06,0.17855071884009593,2023-01-06
,,0.18378168692766186,2.720369283502084,2023-01-07,0.1860097669381508,2023-01-07
,,0.1870154050070217,2.7340546714742207,2023-01-08,0.19346881503620567,2023-01-08
,,0.19024912308638156,2.747740059446357,2023-01-09,0.2009278631342605,2023-01-09
20230110T164651_20230110T164811_T15SYV,2023-01-10,0.1934828411657414,2.761425447418494,2023-01-10,0.20838691123231537,2023-01-10
,,0.2011669331135802,2.766390804786598,2023-01-11,0.21161484315917603,2023-01-11
,,0.20885102506141898,2.771356162154702,2023-01-12,0.21484277508603666,2023-01-12
,,0.21653511700925776,2.7763215195228064,2023-01-13,0.21807070701289732,2023-01-13
,,0.22421920895709657,2.7812868768909103,2023-01-14,0.22129863893975796,2023-01-14
20230115T164629_20230115T164631_T15SYV,2023-01-15,0.23190330090493536,2.7862522342590146,2023-01-15,0.22452657086661862,2023-01-15
,,0.23043845665603555,2.782982527785723,2023-01-16,0.22360943817304357,2023-01-16
,,0.2289736124071357,2.779712821312432,2023-01-17,0.2226923054794685,2023-01-17
,,0.2275087681582359,2.776443114839141,2023-01-18,0.22177517278589345,2023-01-18
,,0.22604392390933606,2.7731734083658495,2023-01-19,0.22085804009231838,2023-01-19
20230120T164611_20230120T164959_T15SYV,2023-01-20,0.22457907966043625,2.769903701892558,2023-01-20,0.21994090739874333,2023-01-20
,,0.22282889955507362,2.7672879783215385,2023-01-21,0.21903436234827872,2023-01-21
,,0.22107871944971097,2.7646722547505194,2023-01-22,0.2181278172978141,2023-01-22
,,0.21932853934434834,2.7620565311795,2023-01-23,0.2172212722473495,2023-01-23
,,0.2175783592389857,2.7594408076084807,2023-01-24,0.21631472719688488,2023-01-24
,,0.21582817913362307,2.756825084037461,2023-01-25,0.21540818214642027,2023-01-25
,,0.2140779990282604,2.7542093604664415,2023-01-26,0.21450163709595568,2023-01-26
,,0.2123278189228978,2.7515936368954224,2023-01-27,0.21359509204549107,2023-01-27
,,0.21057763881753513,2.7489779133244028,2023-01-28,0.21268854699502646,2023-01-28
,,0.2088274587121725,2.7463621897533836,2023-01-29,0.21178200194456184,2023-01-29
,,0.20707727860680986,2.743746466182364,2023-01-30,0.21087545689409723,2023-01-30
,,0.20532709850144723,2.7411307426113445,2023-01-31,0.20996891184363262,2023-01-31
,,0.2035769183960846,2.7385150190403253,2023-02-01,0.209062366793168,2023-02-01
,,0.20182673829072195,2.7358992954693058,2023-02-02,0.2081558217427034,2023-02-02
,,0.20007655818535933,2.7332835718982866,2023-02-03,0.20724927669223878,2023-02-03
,,0.19832637807999667,2.730667848327267,2023-02-04,0.2063427316417742,2023-02-04
,,0.19657619797463405,2.7280521247562475,2023-02-05,0.20543618659130958,2023-02-05
,,0.1948260178692714,2.7254364011852283,2023-02-06,0.20452964154084496,2023-02-06
,,0.19307583776390877,2.7228206776142088,2023-02-07,0.20362309649038035,2023-02-07
,,0.19132565765854614,2.7202049540431896,2023-02-08,0.20271655143991574,2023-02-08
20230209T164431_20230209T165046_T15SYV,2023-02-09,0.1895754775531835,2.71758923047217,2023-02-09,0.20181000638945112,2023-02-09
,,0.1897864625947542,2.7191358371357404,2023-02-10,0.20150045409244757,2023-02-10
,,0.18999744763632495,2.7206824437993107,2023-02-11,0.20119090179544402,2023-02-11
,,0.19020843267789567,2.722229050462881,2023-02-12,0.20088134949844044,2023-02-12
,,0.1904194177194664,2.7237756571264513,2023-02-13,0.2005717972014369,2023-02-13
,,0.19063040276103713,2.7253222637900216,2023-02-14,0.20026224490443334,2023-02-14
,,0.19084138780260787,2.726868870453592,2023-02-15,0.1999526926074298,2023-02-15
,,0.1910523728441786,2.7284154771171623,2023-02-16,0.19964314031042624,2023-02-16
,,0.19126335788574933,2.7299620837807326,2023-02-17,0.19933358801342266,2023-02-17
,,0.19147434292732005,2.731508690444303,2023-02-18,0.1990240357164191,2023-02-18
,,0.1916853279688908,2.733055297107873,2023-02-19,0.19871448341941556,2023-02-19
,,0.1918963130104615,2.7346019037714435,2023-02-20,0.198404931122412,2023-02-20
,,0.19210729805203225,2.7361485104350143,2023-02-21,0.19809537882540845,2023-02-21
,,0.19231828309360297,2.7376951170985846,2023-02-22,0.19778582652840487,2023-02-22
,,0.1925292681351737,2.739241723762155,2023-02-23,0.19747627423140132,2023-02-23
,,0.19274025317674442,2.7407883304257252,2023-02-24,0.19716672193439777,2023-02-24
,,0.19295123821831514,2.7423349370892955,2023-02-25,0.19685716963739422,2023-02-25
,,0.19316222325988588,2.743881543752866,2023-02-26,0.19654761734039067,2023-02-26
,,0.1933732083014566,2.745428150416436,2023-02-27,0.1962380650433871,2023-02-27
,,0.19358419334302734,2.7469747570800065,2023-02-28,0.19592851274638354,2023-02-28
,,0.19379517838459806,2.748521363743577,2023-03-01,0.19561896044937999,2023-03-01
,,0.1940061634261688,2.750067970407147,2023-03-02,0.19530940815237643,2023-03-02
,,0.19421714846773952,2.7516145770707174,2023-03-03,0.19499985585537288,2023-03-03
,,0.19442813350931026,2.7531611837342878,2023-03-04,0.1946903035583693,2023-03-04
,,0.19463911855088098,2.754707790397858,2023-03-05,0.19438075126136575,2023-03-05
,,0.19485010359245172,2.7562543970614284,2023-03-06,0.1940711989643622,2023-03-06
