id_image,date_image,ndvi_value,evi_value,date_image_dt
20190121T164611_20190121T164609_T15SYV,2019-01-21,0.17981289426862793,2.711503468407837,2019-01-21
20190126T164549_20190126T164551_T15SYV,2019-01-26,0.2623420357092073,2.799038719060255,2019-01-26
20190317T164029_20190317T164113_T15SYV,2019-03-17,0.18885064684052577,2.767314984461373,2019-03-17
20190317T164029_20190317T165347_T15SYV,2019-03-17,0.1894272460411098,2.757147286883256,2019-03-17
20190322T163951_20190322T164744_T15SYV,2019-03-22,0.1784764313087119,2.749450617421194,2019-03-22
20190327T164109_20190327T164602_T15SYV,2019-03-27,0.18482462906072405,2.7674948279879237,2019-03-27
20190416T163849_20190416T165110_T15SYV,2019-04-16,0.1995785134344168,2.8040546756164577,2019-04-16
20190421T163901_20190421T164917_T15SYV,2019-04-21,0.20044601825161437,2.760629822805426,2019-04-21
20190426T163849_20190426T165038_T15SYV,2019-04-26,0.24463657749603324,2.8001995631538796,2019-04-26
20190506T163849_20190506T164355_T15SYV,2019-05-06,0.1942111324894245,2.780349761155695,2019-05-06
20190516T163849_20190516T164414_T15SYV,2019-05-16,0.20162213098535858,2.768018100568802,2019-05-16
20190526T163849_20190526T165008_T15SYV,2019-05-26,0.26386964610584207,2.81343976484992,2019-05-26
20190531T163901_20190531T165213_T15SYV,2019-05-31,0.20954616418807412,2.7532130336115874,2019-05-31
20190605T163849_20190605T165318_T15SYV,2019-06-05,0.1550792661028396,2.722764648369191,2019-06-05
20190610T163901_20190610T165257_T15SYV,2019-06-10,0.21596811609781102,2.7332855709846227,2019-06-10
20190620T163901_20190620T164947_T15SYV,2019-06-20,0.1560920670442759,6.313412563433413,2019-06-20
20190630T163901_20190630T164745_T15SYV,2019-06-30,0.23003490644271782,2.7325845923105305,2019-06-30
20190705T163849_20190705T164349_T15SYV,2019-07-05,0.2637766012426934,2.7989093478787144,2019-07-05
20190710T163901_20190710T165255_T15SYV,2019-07-10,0.2789553103189743,2.8086123060400814,2019-07-10
20190720T163901_20190720T164944_T15SYV,2019-07-20,0.3265241172816884,2.8088377667770534,2019-07-20
20190725T163849_20190725T164606_T15SYV,2019-07-25,0.43336819399482773,2.858527892669951,2019-07-25
20190804T163849_20190804T165311_T15SYV,2019-08-04,0.5935817153349124,2.902018835947449,2019-08-04
